#{"t_start": 1682950948.4934337, "env_id": null}
r,l,t
-40462.0,601,8.422999
-74353.0,601,8.422999
-12566.0,601,8.422999
-12061.0,601,8.422999
-179266.0,601,13.659997
-229207.0,601,13.659997
-105875.0,601,13.659997
-117497.0,601,13.659997
-295715.0,601,18.769032
-367973.0,601,18.769032
-240277.0,601,18.769032
-242253.0,601,18.769032
-408810.0,601,29.458009
-521921.0,601,29.458009
-333200.0,601,29.458009
-338591.0,601,29.458009
-495925.0,601,35.188008
-600244.0,601,35.188008
-424829.0,601,35.188008
-431749.0,601,35.188008
-584765.0,601,40.745009
-683332.0,601,40.745009
-555492.0,601,40.745009
-519928.0,601,40.745009
-678482.0,601,52.252006
-758840.0,601,52.252006
-677028.0,601,52.252006
-616340.0,601,52.252006
-795231.0,601,57.712006
-870392.0,601,57.712006
-784000.0,601,57.712006
-706581.0,601,57.712006
-917711.0,601,63.444006
-1040359.0,601,63.445007
-948406.0,601,63.445007
-854485.0,601,63.445007
-1019626.0,601,68.886008
-1145652.0,601,68.886008
-1052120.0,601,68.886008
-1005133.0,601,68.886008
-1136906.0,601,79.245007
-1233180.0,601,79.245007
-1152042.0,601,79.245007
-1144830.0,601,79.245007
-1226138.0,601,84.370007
-1314014.0,601,84.370007
-1218891.0,601,84.370007
-1245474.0,601,84.370007
-1364698.0,601,89.520006
-1403552.0,601,89.520006
-1311040.0,601,89.520006
-1331618.0,601,89.520006
-1467312.0,601,99.749007
-1489714.0,601,99.749007
-1443369.0,601,99.749007
-1425277.0,601,99.749007
-1567759.0,601,104.945007
-1571584.0,601,104.945007
-1549110.0,601,104.945007
-1506677.0,601,104.945007
-1660585.0,601,110.052041
-1657139.0,601,110.052041
-1633259.0,601,110.052041
-1591057.0,601,110.052041
-1734304.0,601,115.180045
-1750343.0,601,115.180045
-1757775.0,601,115.180045
-1670798.0,601,115.180045
-1848412.0,601,125.293007
-1878458.0,601,125.293007
-1839880.0,601,125.293007
-1746183.0,601,125.293007
-1969223.0,601,130.659007
-1981541.0,601,130.659007
-1922598.0,601,130.659007
-1899167.0,601,130.659007
-2059149.0,601,136.088276
-2073045.0,601,136.088276
-2015962.0,601,136.088276
-1996803.0,601,136.088276
-2171903.0,601,146.219568
-2152874.0,601,146.219568
-2138278.0,601,146.219568
-2088772.0,601,146.219568
-2305416.0,601,151.364551
-2239320.0,601,151.364551
-2253949.0,601,151.364551
-2180489.0,601,151.364551
-2398296.0,601,156.502516
-2336506.0,601,156.502516
-2356610.0,601,156.502516
-2277827.0,601,156.503517
-2526570.0,601,166.726517
-2467903.0,601,166.727516
-2490813.0,601,166.727516
-2347461.0,601,166.727516
-2646626.0,601,171.826517
-2573891.0,601,171.826517
-2568386.0,601,171.826517
-2435782.0,601,171.826517
-2786601.0,601,176.952516
-2694516.0,601,176.952516
-2655794.0,601,176.952516
-2523564.0,601,176.952516
-2878015.0,601,182.043533
-2789351.0,601,182.043533
-2732307.0,601,182.043533
-2607686.0,601,182.043533
-2965583.0,601,192.149516
-2856172.0,601,192.149516
-2826565.0,601,192.149516
-2695879.0,601,192.149516
-3076663.0,601,197.342517
-2961749.0,601,197.342517
-2909786.0,601,197.342517
-2776352.0,601,197.342517
-3199388.0,601,202.397516
-3094690.0,601,202.397516
-2993855.0,601,202.397516
-2874550.0,601,202.397516
-3289733.0,601,212.674518
-3204476.0,601,212.674518
-3065993.0,601,212.674518
-2973731.0,601,212.674518
-3376179.0,601,217.861553
-3297116.0,601,217.861553
-3174074.0,601,217.861553
-3053266.0,601,217.861553
-3459419.0,601,222.99952
-3395064.0,601,222.99952
-3258289.0,601,222.99952
-3131069.0,601,222.99952
-3556571.0,601,228.115518
-3470644.0,601,228.115518
-3402060.0,601,228.115518
-3220118.0,601,228.115518
-3652776.0,601,238.243552
-3571267.0,601,238.243552
-3500226.0,601,238.243552
-3296896.0,601,238.243552
-3739026.0,601,243.343554
-3662043.0,601,243.343554
-3590661.0,601,243.343554
-3388023.0,601,243.343554
-3820294.0,601,248.454517
-3738177.0,601,248.454517
-3669252.0,601,248.454517
-3467127.0,601,248.454517
-3912765.0,601,258.602516
-3832131.0,601,258.602516
-3773364.0,601,258.602516
-3556969.0,601,258.602516
-4033553.0,601,263.712516
-3949773.0,601,263.712516
-3884893.0,601,263.712516
-3642434.0,601,263.712516
-4129924.0,601,268.847518
-4119412.0,601,268.847518
-4032408.0,601,268.847518
-3825493.0,601,268.847518
-4219803.0,601,278.96652
-4213577.0,601,278.96652
